Action,Property Type,Property Name,Property Description,Property Value Type,Property Schema Status,Property Visibility,Property Is Array,Property Value Type,String Property Value Min Length,String Property Value Max Length,Number Is Integer,Number Property Value Min,Number Property Value Max,Array Unique Items,Array Min Items,Array Max Items,Enum Values,Const Value,Property Regex,Property First Seen,Property Last Seen
IGNORE,User Property,[6sense] City,,,UNEXPECTED,VISIBLE,FALSE,,,,,,,,,,,,,2022-08-31,2025-06-07
,User Property,[6sense] Company Name,,string,,VISIBLE,FALSE,string,,,,,,,,,,,,2022-08-30,2025-06-07
IGNORE,User Property,[6sense] Country,,,UNEXPECTED,VISIBLE,FALSE,,,,,,,,,,,,,2022-08-30,2025-06-07
IGNORE,User Property,[6sense] Domain,,,UNEXPECTED,VISIBLE,FALSE,,,,,,,,,,,,,2022-08-30,2025-06-07
IGNORE,User Property,[6sense] Employee Count,,,UNEXPECTED,VISIBLE,FALSE,,,,,,,,,,,,,2022-08-31,2025-06-07
IGNORE,User Property,[6sense] Employee Range,,,UNEXPECTED,VISIBLE,FALSE,,,,,,,,,,,,,2022-08-31,2025-06-07
IGNORE,User Property,[6sense] Industry,,,UNEXPECTED,VISIBLE,FALSE,,,,,,,,,,,,,2022-08-31,2025-06-07
IGNORE,User Property,[6sense] Intent Score,,,UNEXPECTED,VISIBLE,FALSE,,,,,,,,,,,,,2022-08-30,2025-06-07
IGNORE,User Property,[6sense] Naics,,,UNEXPECTED,VISIBLE,FALSE,,,,,,,,,,,,,2022-08-31,2025-06-07
IGNORE,User Property,[6sense] Naics Description,,,UNEXPECTED,VISIBLE,FALSE,,,,,,,,,,,,,2022-08-31,2025-06-07
IGNORE,User Property,[6sense] Profile Fit,,,UNEXPECTED,VISIBLE,FALSE,,,,,,,,,,,,,2022-08-30,2025-06-07
IGNORE,User Property,[6sense] Region,,,UNEXPECTED,VISIBLE,FALSE,,,,,,,,,,,,,2022-08-31,2025-06-07
IGNORE,User Property,[6sense] Revenue Range,,,UNEXPECTED,VISIBLE,FALSE,,,,,,,,,,,,,2022-08-31,2025-06-07
IGNORE,User Property,[6sense] Segments,,,UNEXPECTED,VISIBLE,FALSE,,,,,,,,,,,,,2022-08-31,2025-06-07
IGNORE,User Property,[6sense] Sic,,,UNEXPECTED,VISIBLE,FALSE,,,,,,,,,,,,,2022-08-31,2025-06-07
IGNORE,User Property,[6sense] Sic Description,,,UNEXPECTED,VISIBLE,FALSE,,,,,,,,,,,,,2022-08-31,2025-06-07
IGNORE,User Property,[6sense] State,,,UNEXPECTED,VISIBLE,FALSE,,,,,,,,,,,,,2022-08-31,2025-06-07
,User Property,[Amplitude] [Flag] form-membership-flow,,any,,VISIBLE,FALSE,any,,,,,,,,,,,,2020-10-30,2025-06-07
IGNORE,User Property,[Experiment] ampl-web-experiment-11-8,,,UNEXPECTED,VISIBLE,FALSE,,,,,,,,,,,,,2024-11-13,2025-05-16
IGNORE,User Property,[Experiment] amplitude-analytics-cta-test,,,UNEXPECTED,VISIBLE,FALSE,,,,,,,,,,,,,2023-08-02,2025-06-07
IGNORE,User Property,[Experiment] careers-page-test,,,UNEXPECTED,VISIBLE,FALSE,,,,,,,,,,,,,2024-04-16,2025-06-07
IGNORE,User Property,[Experiment] corp-site-nav-signup-cta,,,UNEXPECTED,VISIBLE,FALSE,,,,,,,,,,,,,2023-07-11,2025-06-07
IGNORE,User Property,[Experiment] corpsite-header-navigation-hover-style,,,UNEXPECTED,VISIBLE,FALSE,,,,,,,,,,,,,2024-02-16,2025-06-07
IGNORE,User Property,[Experiment] corpsite-header-test,,,UNEXPECTED,VISIBLE,FALSE,,,,,,,,,,,,,2025-04-23,2025-04-23
IGNORE,User Property,[Experiment] corpsite-xss-test,,,UNEXPECTED,VISIBLE,FALSE,,,,,,,,,,,,,2025-04-23,2025-04-23
IGNORE,User Property,[Experiment] current,,,UNEXPECTED,VISIBLE,FALSE,,,,,,,,,,,,,2025-04-23,2025-04-23
IGNORE,User Property,[Experiment] Dummies-Autofill-Short-Form-Jan-2024,,,UNEXPECTED,VISIBLE,FALSE,,,,,,,,,,,,,2024-02-02,2025-06-06
IGNORE,User Property,[Experiment] enable-article-sidebar,,,UNEXPECTED,VISIBLE,FALSE,,,,,,,,,,,,,2025-01-21,2025-06-07
IGNORE,User Property,[Experiment] enable-google-one-tap-corpsite,,,UNEXPECTED,VISIBLE,FALSE,,,,,,,,,,,,,2025-01-09,2025-06-07
IGNORE,User Property,[Experiment] feature-exp-product-page_10292024,,,UNEXPECTED,VISIBLE,FALSE,,,,,,,,,,,,,2024-11-13,2025-06-07
IGNORE,User Property,[Experiment] free_trial_widget,,,UNEXPECTED,VISIBLE,FALSE,,,,,,,,,,,,,2025-02-19,2025-04-24
IGNORE,User Property,[Experiment] g-and-s-contact-sales-image-css-override,,,UNEXPECTED,VISIBLE,FALSE,,,,,,,,,,,,,2025-02-10,2025-06-07
IGNORE,User Property,[Experiment] get-started-copy,,,UNEXPECTED,VISIBLE,FALSE,,,,,,,,,,,,,2023-10-06,2025-06-06
IGNORE,User Property,[Experiment] get-started-header,,,UNEXPECTED,VISIBLE,FALSE,,,,,,,,,,,,,2023-08-31,2025-06-07
IGNORE,User Property,[Experiment] get-started-nov-24-rehaul,,,UNEXPECTED,VISIBLE,FALSE,,,,,,,,,,,,,2024-10-28,2025-06-07
IGNORE,User Property,[Experiment] get-started-on-blog-sticky-nav,,,UNEXPECTED,VISIBLE,FALSE,,,,,,,,,,,,,2025-01-09,2025-06-07
IGNORE,User Property,[Experiment] get-started-page--social-proof--trust-badges-2025-05-06,,,UNEXPECTED,VISIBLE,FALSE,,,,,,,,,,,,,2025-05-06,2025-06-07
IGNORE,User Property,[Experiment] get-started-page-cta-optimization-2025-04-22,,,UNEXPECTED,VISIBLE,FALSE,,,,,,,,,,,,,2025-04-22,2025-06-05
IGNORE,User Property,[Experiment] get-started-sept-24-overhaul,,,UNEXPECTED,VISIBLE,FALSE,,,,,,,,,,,,,2024-10-03,2025-06-07
IGNORE,User Property,[Experiment] hero-value-prop-split-test-variant-1-2025-05-22,,,UNEXPECTED,VISIBLE,FALSE,,,,,,,,,,,,,2025-05-30,2025-05-30
IGNORE,User Property,[Experiment] homepage-exp,,,UNEXPECTED,VISIBLE,FALSE,,,,,,,,,,,,,2025-04-23,2025-04-23
IGNORE,User Property,[Experiment] homepage-exp-2-aug-2024,,,UNEXPECTED,VISIBLE,FALSE,,,,,,,,,,,,,2024-08-13,2025-06-07
IGNORE,User Property,[Experiment] homepage-gamified-cta--social-proof-2025-04-22,,,UNEXPECTED,VISIBLE,FALSE,,,,,,,,,,,,,2025-04-22,2025-04-22
IGNORE,User Property,[Experiment] homepage-h1-copy-test-april-2024,,,UNEXPECTED,VISIBLE,FALSE,,,,,,,,,,,,,2024-04-02,2025-06-07
IGNORE,User Property,[Experiment] homepage-h2-get-started-cta-test-apr-2024,,,UNEXPECTED,VISIBLE,FALSE,,,,,,,,,,,,,2024-04-23,2025-06-07
IGNORE,User Property,[Experiment] homepage-light-theme,,,UNEXPECTED,VISIBLE,FALSE,,,,,,,,,,,,,2023-08-24,2025-06-07
IGNORE,User Property,[Experiment] homepage-refresh-may-2024,,,UNEXPECTED,VISIBLE,FALSE,,,,,,,,,,,,,2024-05-01,2025-06-07
IGNORE,User Property,[Experiment] internal-links-v2,,,UNEXPECTED,VISIBLE,FALSE,,,,,,,,,,,,,2025-02-26,2025-06-07
IGNORE,User Property,[Experiment] jeffrey-test,,,UNEXPECTED,VISIBLE,FALSE,,,,,,,,,,,,,2025-04-16,2025-05-11
IGNORE,User Property,[Experiment] lbm-hackathon,,,UNEXPECTED,VISIBLE,FALSE,,,,,,,,,,,,,2024-12-09,2025-05-06
IGNORE,User Property,[Experiment] lbm-hackathon-tim-test,,,UNEXPECTED,VISIBLE,FALSE,,,,,,,,,,,,,2024-12-09,2025-04-14
IGNORE,User Property,[Experiment] navbar-exp,,,UNEXPECTED,VISIBLE,FALSE,,,,,,,,,,,,,2025-04-23,2025-04-23
,User Property,[Experiment] new-org-activation-form,,any,,VISIBLE,FALSE,any,,,,,,,,,,,,2021-07-21,2025-06-07
,User Property,[Experiment] new-org-activation-short-form,,any,,VISIBLE,FALSE,any,,,,,,,,,,,,2021-07-16,2025-06-04
IGNORE,User Property,[Experiment] personalization-at-scale-lead-form--value-prop--social-proof-2025-04-22,,,UNEXPECTED,VISIBLE,FALSE,,,,,,,,,,,,,2025-04-22,2025-05-06
,User Property,[Experiment] pricing-page,,any,,VISIBLE,FALSE,any,,,,,,,,,,,,2021-09-30,2025-06-06
IGNORE,User Property,[Experiment] pricing-page-enterprise-plan-card,,,UNEXPECTED,VISIBLE,FALSE,,,,,,,,,,,,,2024-09-17,2025-06-07
IGNORE,User Property,[Experiment] pricing-page-hero-cta-enhancement-2025-06-06,,,UNEXPECTED,VISIBLE,FALSE,,,,,,,,,,,,,2025-06-06,2025-06-06
IGNORE,User Property,[Experiment] pricing-page-pricing-slider-test-june-2024,,,UNEXPECTED,VISIBLE,FALSE,,,,,,,,,,,,,2024-06-05,2025-06-07
,User Property,[Experiment] pricing-page-v2,,any,,VISIBLE,FALSE,any,,,,,,,,,,,,2021-12-14,2025-06-07
