Object Name,Event Display Name,Property Type,Property Group Names,Event Property Name,Property Description,Property Value Type,Property Schema Status,Property Required,Property Is Array,Property First Seen,Property Last Seen
[Amplitude] [Flag] Enrollment Event,,Event Property,,[Skylab] Endpoint,,any,LIVE,False,False,2021-03-05,2021-05-25
[Amplitude] [Flag] Enrollment Event,,Event Property,,[Skylab] Environment ID,,any,LIVE,False,False,2021-03-05,2021-05-25
[Amplitude] [Flag] Enrollment Event,,Event Property,,[Skylab] Environment Name,,any,LIVE,False,False,2021-03-05,2021-05-25
[Amplitude] Attribution Captured,,Event Property,,gclid,,any,LIVE,False,False,2020-09-10,2025-06-07
[Amplitude] Attribution Captured,,Event Property,,referrer,,string,LIVE,False,False,2020-08-26,2025-06-07
[Amplitude] Attribution Captured,,Event Property,,referring_domain,,any,LIVE,False,False,2020-08-26,2025-06-07
[Amplitude] Attribution Captured,,Event Property,,utm_campaign,,any,LIVE,False,False,2020-09-10,2025-06-07
[Amplitude] Attribution Captured,,Event Property,,utm_content,,any,LIVE,False,False,2020-09-10,2025-06-07
[Amplitude] Attribution Captured,,Event Property,,utm_medium,,any,LIVE,False,False,2020-09-10,2025-06-07
[Amplitude] Attribution Captured,,Event Property,,utm_source,,any,LIVE,False,False,2020-09-10,2025-06-07
[Amplitude] Attribution Captured,,Event Property,,utm_term,,any,LIVE,False,False,2020-09-10,2025-06-07
[Amplitude] Element Clicked,[Amplitude] Element Clicked,Event Property,,[Amplitude] Element Aria Label,"The aria-label of the element. Aria labels are intended for interactive elements without visible text in the DOM, and can be useful to further define your click events.

For example, if the element clicked was:

<button aria-label=""Close"" onclick=""myDialog.close()""></button>

The value would be: Close",any,LIVE,False,False,2024-04-30,2025-06-07
[Amplitude] Element Clicked,[Amplitude] Element Clicked,Event Property,,[Amplitude] Element Class,"The class attribute of the HTML element.

For example, if the element clicked was:

<a id=""myID"">Home</a>

The property value would be: myClass",any,LIVE,False,False,2024-04-30,2025-06-07
[Amplitude] Element Clicked,[Amplitude] Element Clicked,Event Property,,[Amplitude] Element Href,"The href attribute, specifying the URL for a link. Only applies to <a> tags on the Element Clicked event.

For example, if the element clicked was:

<a href=”https://www.amplitude.com”>Home</a>

The property value would be: https://www.amplitude.com",any,LIVE,False,False,2024-04-30,2025-06-07
[Amplitude] Element Clicked,[Amplitude] Element Clicked,Event Property,,[Amplitude] Element ID,"The id attribute of the HTML element.

For example, if the element clicked was:

<a id=""myID"">Home</a>

The property value would be: myID",any,LIVE,False,False,2024-04-30,2025-06-07
[Amplitude] Element Clicked,[Amplitude] Element Clicked,Event Property,,[Amplitude] Element Parent Label,"The text label in the parent element (or upper ancestors if not found in one level parent) of the element.

For example, if the element clicked was:

<div><span>Amplitude</span><a id=""myID"">Home</a></div>

The value would be: Amplitude",any,LIVE,False,False,2024-04-30,2025-06-07
[Amplitude] Element Clicked,[Amplitude] Element Clicked,Event Property,,[Amplitude] Element Position Left,"Captures the distance of the element from the left of the screen view in pixels.

For example, a value of 600 means the element clicked was 600 pixels from the left of the screen view.",any,LIVE,False,False,2024-04-30,2025-06-07
[Amplitude] Element Clicked,[Amplitude] Element Clicked,Event Property,,[Amplitude] Element Position Top,"Captures the distance of the element from the top of the screen view in pixels.

For example, a value of 400 means the element clicked was 400 pixels from the top of the screen view.",any,LIVE,False,False,2024-04-30,2025-06-07
[Amplitude] Element Clicked,[Amplitude] Element Clicked,Event Property,,[Amplitude] Element Selector,,string,LIVE,False,False,2024-04-30,2025-06-07
[Amplitude] Element Clicked,[Amplitude] Element Clicked,Event Property,,[Amplitude] Element Tag,"The tag name of the HTML element.

For example, if the element clicked was:

<a href=”#”>Home</a>

The property value would be: a",any,LIVE,False,False,2024-04-30,2025-06-07
[Amplitude] Element Clicked,[Amplitude] Element Clicked,Event Property,,[Amplitude] Element Text,"The text content (innerText) of the HTML element. Only applies to the Element Clicked event.

For example, if the element clicked was:

<a href=”#”>Home</a>

The property value would be: Home",any,LIVE,False,False,2024-04-30,2025-06-07
