Event Property Name,Property Type,Property Group Names,Property Description,Property Value Type,Property Schema Status,Property Required,Property Is Array,Property First Seen,Property Last Seen
$price,Event Property,,,any,LIVE,False,False,2021-07-28,2021-07-28
$productId,Event Property,,,any,LIVE,False,False,2021-07-28,2021-07-28
$quantity,Event Property,,,any,LIVE,False,False,2021-07-28,2021-07-28
$revenue,Event Property,,,any,LIVE,False,False,2021-07-28,2021-07-28
$revenueType,Event Property,,,any,LIVE,False,False,2021-07-28,2021-07-28
(opt) Business Case Definition,Event Property,,,any,LIVE,False,False,2022-06-01,2025-02-12
(opt) Champion Persona,Event Property,,,any,LIVE,False,False,2022-06-01,2025-03-13
(opt) Champion has prior Amplitude exp,Event Property,,,any,LIVE,False,False,2022-06-01,2025-03-11
(opt) Go-Live Date,Event Property,,,any,LIVE,False,False,2022-06-08,2025-03-11
(opt) MSA Review Complete,Event Property,,,any,LIVE,False,False,2022-06-01,2025-03-13
(opt) Mutual Action Plan Link,Event Property,,,any,LIVE,False,False,2022-06-02,2025-03-13
(opt) Roll Out Plan & Partner Services,Event Property,,,any,LIVE,False,False,2022-06-08,2023-06-14
(opt) SDR Qualification Call: Gong Link,Event Property,,,any,LIVE,False,False,2022-06-02,2025-02-26
(opt) SDR Qualification Call: Notes,Event Property,,,any,LIVE,False,False,2022-06-01,2025-03-11
0,Event Property,,,any,LIVE,False,False,,
1,Event Property,,,any,LIVE,False,False,,
10,Event Property,,,any,LIVE,False,False,,
100,Event Property,,,any,LIVE,False,False,,
101,Event Property,,,any,LIVE,False,False,,
102,Event Property,,,any,LIVE,False,False,,
103,Event Property,,,any,LIVE,False,False,,
104,Event Property,,,any,LIVE,False,False,,
105,Event Property,,,any,LIVE,False,False,,
106,Event Property,,,any,LIVE,False,False,,
107,Event Property,,,any,LIVE,False,False,,
108,Event Property,,,any,LIVE,False,False,,
109,Event Property,,,any,LIVE,False,False,,
11,Event Property,,,any,LIVE,False,False,,
110,Event Property,,,any,LIVE,False,False,,
111,Event Property,,,any,LIVE,False,False,,
112,Event Property,,,any,LIVE,False,False,,
113,Event Property,,,any,LIVE,False,False,,
114,Event Property,,,any,LIVE,False,False,,
115,Event Property,,,any,LIVE,False,False,,
116,Event Property,,,any,LIVE,False,False,,
117,Event Property,,,any,LIVE,False,False,,
118,Event Property,,,any,LIVE,False,False,,
119,Event Property,,,any,LIVE,False,False,,
12,Event Property,,,any,LIVE,False,False,,
120,Event Property,,,any,LIVE,False,False,,
121,Event Property,,,any,LIVE,False,False,,
122,Event Property,,,any,LIVE,False,False,,
123,Event Property,,,any,LIVE,False,False,,
124,Event Property,,,any,LIVE,False,False,,
125,Event Property,,,any,LIVE,False,False,,
126,Event Property,,,any,LIVE,False,False,,
127,Event Property,,,any,LIVE,False,False,,
128,Event Property,,,any,LIVE,False,False,,
129,Event Property,,,any,LIVE,False,False,,
13,Event Property,,,any,LIVE,False,False,,
130,Event Property,,,any,LIVE,False,False,,
131,Event Property,,,any,LIVE,False,False,,
132,Event Property,,,any,LIVE,False,False,,
133,Event Property,,,any,LIVE,False,False,,
134,Event Property,,,any,LIVE,False,False,,
135,Event Property,,,any,LIVE,False,False,,
136,Event Property,,,any,LIVE,False,False,,
137,Event Property,,,any,LIVE,False,False,,
138,Event Property,,,any,LIVE,False,False,,
139,Event Property,,,any,LIVE,False,False,,
14,Event Property,,,any,LIVE,False,False,,
140,Event Property,,,any,LIVE,False,False,,
141,Event Property,,,any,LIVE,False,False,,
142,Event Property,,,any,LIVE,False,False,,
143,Event Property,,,any,LIVE,False,False,,
144,Event Property,,,any,LIVE,False,False,,
145,Event Property,,,any,LIVE,False,False,,
146,Event Property,,,any,LIVE,False,False,,
147,Event Property,,,any,LIVE,False,False,,
148,Event Property,,,any,LIVE,False,False,,
149,Event Property,,,any,LIVE,False,False,,
15,Event Property,,,any,LIVE,False,False,,
150,Event Property,,,any,LIVE,False,False,,
151,Event Property,,,any,LIVE,False,False,,
152,Event Property,,,any,LIVE,False,False,,
153,Event Property,,,any,LIVE,False,False,,
154,Event Property,,,any,LIVE,False,False,,
155,Event Property,,,any,LIVE,False,False,,
156,Event Property,,,any,LIVE,False,False,,
157,Event Property,,,any,LIVE,False,False,,
158,Event Property,,,any,LIVE,False,False,,
159,Event Property,,,any,LIVE,False,False,,
16,Event Property,,,any,LIVE,False,False,,
160,Event Property,,,any,LIVE,False,False,,
161,Event Property,,,any,LIVE,False,False,,
162,Event Property,,,any,LIVE,False,False,,
163,Event Property,,,any,LIVE,False,False,,
164,Event Property,,,any,LIVE,False,False,,
165,Event Property,,,any,LIVE,False,False,,
166,Event Property,,,any,LIVE,False,False,,
167,Event Property,,,any,LIVE,False,False,,
168,Event Property,,,any,LIVE,False,False,,
169,Event Property,,,any,LIVE,False,False,,
16LYdrHsGmiCCKqYYOQ0yw,Event Property,,,any,LIVE,False,False,,
17,Event Property,,,any,LIVE,False,False,,
170,Event Property,,,any,LIVE,False,False,,
171,Event Property,,,any,LIVE,False,False,,
172,Event Property,,,any,LIVE,False,False,,
173,Event Property,,,any,LIVE,False,False,,
174,Event Property,,,any,LIVE,False,False,,
175,Event Property,,,any,LIVE,False,False,,
176,Event Property,,,any,LIVE,False,False,,
177,Event Property,,,any,LIVE,False,False,,
178,Event Property,,,any,LIVE,False,False,,
179,Event Property,,,any,LIVE,False,False,,
18,Event Property,,,any,LIVE,False,False,,
180,Event Property,,,any,LIVE,False,False,,
181,Event Property,,,any,LIVE,False,False,,
182,Event Property,,,any,LIVE,False,False,,
183,Event Property,,,any,LIVE,False,False,,
184,Event Property,,,any,LIVE,False,False,,
185,Event Property,,,any,LIVE,False,False,,
186,Event Property,,,any,LIVE,False,False,,
187,Event Property,,,any,LIVE,False,False,,
188,Event Property,,,any,LIVE,False,False,,
189,Event Property,,,any,LIVE,False,False,,
19,Event Property,,,any,LIVE,False,False,,
190,Event Property,,,any,LIVE,False,False,,
191,Event Property,,,any,LIVE,False,False,,
192,Event Property,,,any,LIVE,False,False,,
193,Event Property,,,any,LIVE,False,False,,
194,Event Property,,,any,LIVE,False,False,,
195,Event Property,,,any,LIVE,False,False,,
196,Event Property,,,any,LIVE,False,False,,
197,Event Property,,,any,LIVE,False,False,,
198,Event Property,,,any,LIVE,False,False,,
199,Event Property,,,any,LIVE,False,False,,
19TKZXswTQGeEKiKgKwaaw,Event Property,,,any,LIVE,False,False,,
2,Event Property,,,any,LIVE,False,False,,
20,Event Property,,,any,LIVE,False,False,,
200,Event Property,,,any,LIVE,False,False,,
201,Event Property,,,any,LIVE,False,False,,
202,Event Property,,,any,LIVE,False,False,,
203,Event Property,,,any,LIVE,False,False,,
204,Event Property,,,any,LIVE,False,False,,
205,Event Property,,,any,LIVE,False,False,,
206,Event Property,,,any,LIVE,False,False,,
207,Event Property,,,any,LIVE,False,False,,
208,Event Property,,,any,LIVE,False,False,,
209,Event Property,,,any,LIVE,False,False,,
20Uz7rfdwk2uMoccoCCSiE,Event Property,,,any,LIVE,False,False,,
21,Event Property,,,any,LIVE,False,False,,
210,Event Property,,,any,LIVE,False,False,,
211,Event Property,,,any,LIVE,False,False,,
212,Event Property,,,any,LIVE,False,False,,
213,Event Property,,,any,LIVE,False,False,,
214,Event Property,,,any,LIVE,False,False,,
215,Event Property,,,any,LIVE,False,False,,
216,Event Property,,,any,LIVE,False,False,,
217,Event Property,,,any,LIVE,False,False,,
218,Event Property,,,any,LIVE,False,False,,
219,Event Property,,,any,LIVE,False,False,,
22,Event Property,,,any,LIVE,False,False,,
220,Event Property,,,any,LIVE,False,False,,
221,Event Property,,,any,LIVE,False,False,,
222,Event Property,,,any,LIVE,False,False,,
223,Event Property,,,any,LIVE,False,False,,
224,Event Property,,,any,LIVE,False,False,,
225,Event Property,,,any,LIVE,False,False,,
226,Event Property,,,any,LIVE,False,False,,
227,Event Property,,,any,LIVE,False,False,,
228,Event Property,,,any,LIVE,False,False,,
229,Event Property,,,any,LIVE,False,False,,
23,Event Property,,,any,LIVE,False,False,,
230,Event Property,,,any,LIVE,False,False,,
231,Event Property,,,any,LIVE,False,False,,
232,Event Property,,,any,LIVE,False,False,,
233,Event Property,,,any,LIVE,False,False,,
234,Event Property,,,any,LIVE,False,False,,
235,Event Property,,,any,LIVE,False,False,,
236,Event Property,,,any,LIVE,False,False,,
237,Event Property,,,any,LIVE,False,False,,
238,Event Property,,,any,LIVE,False,False,,
239,Event Property,,,any,LIVE,False,False,,
24,Event Property,,,any,LIVE,False,False,,
240,Event Property,,,any,LIVE,False,False,,
241,Event Property,,,any,LIVE,False,False,,
242,Event Property,,,any,LIVE,False,False,,
243,Event Property,,,any,LIVE,False,False,,
244,Event Property,,,any,LIVE,False,False,,
245,Event Property,,,any,LIVE,False,False,,
246,Event Property,,,any,LIVE,False,False,,
247,Event Property,,,any,LIVE,False,False,,
248,Event Property,,,any,LIVE,False,False,,
249,Event Property,,,any,LIVE,False,False,,
25,Event Property,,,any,LIVE,False,False,,
250,Event Property,,,any,LIVE,False,False,,
251,Event Property,,,any,LIVE,False,False,,
252,Event Property,,,any,LIVE,False,False,,
253,Event Property,,,any,LIVE,False,False,,
254,Event Property,,,any,LIVE,False,False,,
255,Event Property,,,any,LIVE,False,False,,
256,Event Property,,,any,LIVE,False,False,,
257,Event Property,,,any,LIVE,False,False,,
258,Event Property,,,any,LIVE,False,False,,
259,Event Property,,,any,LIVE,False,False,,
